conf_abbr	date	game_location	game_result	game_streak	losses	notes	opp_name	opp_points	points	school_name	ties	time_game	wins
Ind	1912-11-16		W	W 1	2		Cornell	7	20	Michigan	0		5
Non-Major	1913-10-04		W	W 1	0		Case	0	48	Michigan	0		1
Non-Major	1913-10-11		W	W 2	0		Mount Union	0	14	Michigan	0		2
Non-Major	1913-10-18		L	L 1	1		Michigan State	12	7	Michigan	0		2
Ind	1913-10-25	@	W	W 1	1		Vanderbilt	2	33	Michigan	0		3
Ind	1913-11-01		W	W 2	1		Syracuse	7	43	Michigan	0		4
Ind	1913-11-08	@	W	W 3	1		Cornell	0	17	Michigan	0		5
Ind	1913-11-15		W	W 4	1		Pennsylvania	0	13	Michigan	0		6
Non-Major	1914-09-30		W	W 1	0		DePauw	0	58	Michigan	0		1
Non-Major	1914-10-03		W	W 2	0		Case	0	69	Michigan	0		2
Non-Major	1914-10-07		W	W 3	0		Mount Union	7	27	Michigan	0		3
Ind	1914-10-10		W	W 4	0		Vanderbilt	3	23	Michigan	0		4
Non-Major	1914-10-17	@	W	W 5	0		Michigan State	0	3	Michigan	0		5
Ind	1914-10-24	@	L	L 1	1		Syracuse	20	6	Michigan	0		5
Ind	1914-10-31	@	L	L 2	2		Harvard	7	0	Michigan	0		5
Ind	1914-11-07		W	W 1	2		Pennsylvania	3	34	Michigan	0		6
Ind	1914-11-14		L	L 1	3		Cornell	28	13	Michigan	0		6
Non-Major	1915-10-06		W	W 1	0		Lawrence	0	39	Michigan	0		1
Non-Major	1915-10-09		W	W 2	0		Mount Union	0	35	Michigan	0		2
Non-Major	1915-10-13		W	W 3	0		Marietta	6	28	Michigan	0		3
Non-Major	1915-10-16		W	W 4	0		Case	3	14	Michigan	0		4
Non-Major	1915-10-23		L	L 1	1		Michigan State	24	0	Michigan	0		4
Ind	1915-10-30		L	L 2	2		Syracuse	14	7	Michigan	0		4
Ind	1915-11-06		L	L 3	3		Cornell	34	7	Michigan	0		4
Ind	1915-11-13	@	T	T 1	3		Pennsylvania	0	0	Michigan	1		4
Non-Major	1916-10-04		W	W 1	0		Marietta	0	38	Michigan	0		1
Non-Major	1916-10-07		W	W 2	0		Case	3	19	Michigan	0		2
Non-Major	1916-10-11		W	W 3	0		Carroll (Wisconsin)	0	54	Michigan	0		3
Non-Major	1916-10-14		W	W 4	0		Mount Union	0	26	Michigan	0		4
Non-Major	1916-10-21		W	W 5	0		Michigan State	0	9	Michigan	0		5
Ind	1916-10-28		W	W 6	0		Syracuse	13	14	Michigan	0		6
MVIAA	1916-11-04		W	W 7	0		Washington (MO)	7	66	Michigan	0		7
Ind	1916-11-11	@	L	L 1	1		Cornell	23	20	Michigan	0		7
Ind	1916-11-18		L	L 2	2		Pennsylvania	10	7	Michigan	0		7
Non-Major	1917-10-06		W	W 1	0		Case	0	41	Michigan	0		1
Non-Major	1917-10-10		W	W 2	0		Western Michigan	13	17	Michigan	0		2
Non-Major	1917-10-13		W	W 3	0		Mount Union	0	69	Michigan	0		3
Non-Major	1917-10-17		W	W 4	0		Detroit Mercy	3	14	Michigan	0		4
Non-Major	1917-10-20	@	W	W 5	0		Michigan State	0	27	Michigan	0		5
MVIAA	1917-10-27		W	W 6	0		Nebraska	0	20	Michigan	0		6
Non-Major	1917-11-03		W	W 7	0		Kalamazoo	0	62	Michigan	0		7
Ind	1917-11-10		W	W 8	0		Cornell	0	42	Michigan	0		8
Ind	1917-11-17	@	L	L 1	1		Pennsylvania	16	0	Michigan	0		8
Western	1917-11-24	@	L	L 2	2		Northwestern	21	12	Michigan	0		8
Non-Major	1918-10-05		W	W 1	0		Case	0	33	Michigan	0		1
Western	1918-11-09	@	W	W 2	0		Chicago	0	13	Michigan	0		2
Ind	1918-11-16		W	W 3	0		Syracuse	0	15	Michigan	0		3
Ind	1918-11-23		W	W 4	0		Michigan State	6	21	Michigan	0		4
Western	1918-11-30		W	W 5	0		Ohio State	0	14	Michigan	0		5
Non-Major	1919-10-04		W	W 1	0		Case	0	34	Michigan	0		1
Non-Major	1919-10-18		W	W 2	0		Michigan State	0	26	Michigan	0		2
Western	1919-10-25		L	L 1	1		Ohio State	13	3	Michigan	0		2
Western	1919-11-01		W	W 1	1		Northwestern	13	16	Michigan	0		3
Western	1919-11-08	@	L	L 1	2		Chicago	13	0	Michigan	0		3
Western	1919-11-15	@	L	L 2	3		Illinois	29	7	Michigan	0		3
Western	1919-11-22		L	L 3	4		Minnesota	34	7	Michigan	0		3
Non-Major	1920-10-09		W	W 1	0		Case	0	35	Michigan	0		1
Non-Major	1920-10-16		W	W 2	0		Michigan State	0	35	Michigan	0		2
Western	1920-10-23		L	L 1	1		Illinois	7	6	Michigan	0		2
Ind	1920-10-30		W	W 1	1		Tulane	0	21	Michigan	0		3
Western	1920-11-06	@	L	L 1	2		Ohio State	14	7	Michigan	0		3
Western	1920-11-13		W	W 1	2		Chicago	0	14	Michigan	0		4
Western	1920-11-20	@	W	W 2	2		Minnesota	0	3	Michigan	0		5
Non-Major	1921-10-01		W	W 1	0		Mount Union	0	44	Michigan	0		1
Non-Major	1921-10-08		W	W 2	0		Case	0	65	Michigan	0		2
Non-Major	1921-10-15		W	W 3	0		Michigan State	0	30	Michigan	0		3
Western	1921-10-22		L	L 1	1		Ohio State	14	0	Michigan	0		3
Western	1921-10-29	@	W	W 1	1		Illinois	0	3	Michigan	0		4
Western	1921-11-12	@	T	T 1	1		Wisconsin	7	7	Michigan	1		4
Western	1921-11-19		W	W 1	1		Minnesota	0	38	Michigan	1		5
Non-Major	1922-10-07		W	W 1	0		Case	0	48	Michigan	0		1
Southern	1922-10-14	@	T	T 1	0		Vanderbilt	0	0	Michigan	1		1
Western	1922-10-21	@	W	W 1	0		Ohio State	0	19	Michigan	1		2
Western	1922-10-28		W	W 2	0		Illinois	0	24	Michigan	1		3
Non-Major	1922-11-04		W	W 3	0		Michigan State	0	63	Michigan	1		4
Western	1922-11-18		W	W 4	0		Wisconsin	6	13	Michigan	1		5
Western	1922-11-25	@	W	W 5	0		Minnesota	7	16	Michigan	1		6
Non-Major	1923-10-06		W	W 1	0		Case	0	36	Michigan	0		1
Southern	1923-10-13		W	W 2	0		Vanderbilt	0	3	Michigan	0		2
Western	1923-10-20		W	W 3	0		Ohio State	0	23	Michigan	0		3
Non-Major	1923-10-27		W	W 4	0		Michigan State	0	37	Michigan	0		4
Western	1923-11-03	@	W	W 5	0		Iowa	3	9	Michigan	0		5
Non-Major	1923-11-10		W	W 6	0		Quantico Marines	6	26	Michigan	0		6
Western	1923-11-17	@	W	W 7	0		Wisconsin	3	6	Michigan	0		7
Western	1923-11-24		W	W 8	0		Minnesota	0	10	Michigan	0		8
Non-Major	1924-10-04		W	W 1	0		Miami (OH)	0	55	Michigan	0		1
Non-Major	1924-10-11	@	W	W 2	0		Michigan State	0	7	Michigan	0		2
Western	1924-10-18	@	L	L 1	1		Illinois	39	14	Michigan	0		2
Western	1924-10-25		W	W 1	1		Wisconsin	0	21	Michigan	0		3
Western	1924-11-01	@	W	W 2	1		Minnesota	0	13	Michigan	0		4
Western	1924-11-08		W	W 3	1		Northwestern	0	27	Michigan	0		5
Western	1924-11-15	@	W	W 4	1		Ohio State	6	16	Michigan	0		6
Western	1924-11-22		L	L 1	2		Iowa	9	2	Michigan	0		6
Ind	1925-10-03		W	W 1	0		Michigan State	0	39	Michigan	0		1
Western	1925-10-10		W	W 2	0		Indiana	0	63	Michigan	0		2
Western	1925-10-17	@	W	W 3	0		Wisconsin	0	21	Michigan	0		3
Western	1925-10-24	@	W	W 4	0		Illinois	0	3	Michigan	0		4
Ind	1925-10-31		W	W 5	0		Navy	0	54	Michigan	0		5
Western	1925-11-07	@	L	L 1	1	Chicago, IL	Northwestern	3	2	Michigan	0		5
Western	1925-11-14		W	W 1	1		Ohio State	0	10	Michigan	0		6
Western	1925-11-21		W	W 2	1		Minnesota	0	35	Michigan	0		7
MVIAA	1926-10-02		W	W 1	0		Oklahoma State	3	42	Michigan	0		1
Ind	1926-10-09		W	W 2	0		Michigan State	3	55	Michigan	0		2
Western	1926-10-16		W	W 3	0		Minnesota	0	20	Michigan	0		3
Western	1926-10-23		W	W 4	0		Illinois	0	13	Michigan	0		4
Ind	1926-10-30	@	L	L 1	1	Baltimore, MD	Navy	10	0	Michigan	0		4
Western	1926-11-06		W	W 1	1		Wisconsin	0	37	Michigan	0		5
Western	1926-11-13	@	W	W 2	1		Ohio State	16	17	Michigan	0		6
Western	1926-11-20	@	W	W 3	1		Minnesota	6	7	Michigan	0		7
Non-Major	1927-10-01		W	W 1	0		Ohio Wesleyan	0	33	Michigan	0		1
Ind	1927-10-08		W	W 2	0		Michigan State	0	21	Michigan	0		2
Western	1927-10-15	@	W	W 3	0		Wisconsin	0	14	Michigan	0		3
Western	1927-10-22		W	W 4	0		Ohio State	0	21	Michigan	0		4
Western	1927-10-29	@	L	L 1	1		Illinois	14	0	Michigan	0		4
Western	1927-11-05	@	W	W 1	1		Chicago	0	14	Michigan	0		5
Ind	1927-11-12		W	W 2	1		Navy	12	27	Michigan	0		6
Western	1927-11-19		L	L 1	2		Minnesota	13	7	Michigan	0		6
Non-Major	1928-10-06		L	L 1	1		Ohio Wesleyan	17	7	Michigan	0		0
Western	1928-10-13		L	L 2	2		Indiana	6	0	Michigan	0		0
Western	1928-10-20	@	L	L 3	3		Ohio State	19	7	Michigan	0		0
Western	1928-10-27		L	L 4	4		Wisconsin	7	0	Michigan	0		0
Western	1928-11-03		W	W 1	4		Illinois	0	3	Michigan	0		1
Ind	1928-11-10	@	T	T 1	4	Baltimore, MD	Navy	6	6	Michigan	1		1
Ind	1928-11-17		W	W 1	4		Michigan State	0	3	Michigan	1		2
Western	1928-11-24		W	W 2	4		Iowa	7	10	Michigan	1		3
Non-Major	1929-09-27		W	W 1	0		Albion	0	39	Michigan	0		1
Non-Major	1929-09-28		W	W 2	0		Mount Union	6	16	Michigan	0		2
Ind	1929-10-05		W	W 3	0		Michigan State	0	17	Michigan	0		3
